,zipcode,city,latitude,longitude
120,18581,Putbus Darsband,54.36024,13.465583
121,56829,"Pommern, Mosel",50.1667,7.28333
122,6449,Freckleben,51.7015,11.54749
123,83674,"Gaißach, Oberbayern",47.75,11.5833
124,25582,Drage bei Hohenaspe,54.003443,9.519824
125,79862,Höchenschwand,47.7333,8.16667
126,15370,Fredersdorf-Vogelsdorf Fredersdorf bei Berlin,52.53176,13.75567
127,26969,Butjadingen,53.5501577338822,8.33328338623051
128,39596,Altenzaun,52.7402,12.02574
129,6766,Bitterfeld-Wolfen Thalheim bei Wolfen,51.6492515257275,12.2296391217042
130,90596,Schwanstetten,49.3,11.1167
131,16866,Gumtow,52.97835,12.24995
132,17252,"Mirow, Mecklenburg",53.27331,12.8168900000001
133,26553,"Dornum, Ostfriesland",53.6555,7.43019
134,24161,Altenholz,54.4016457700682,10.1185690820218
135,39638,"Schenkenhorst, Altmark",52.60278,11.39514
136,39291,Möser,52.2179007832045,11.7914654867554
137,96199,Zapfendorf,50.0333,10.9333
138,17291,Carmzow-Wallmow Wallmow,53.34133,14.08544
139,9518,Großrückerswalde,50.6333,13.1167
140,18528,Bergen auf Rügen Silvitz,54.395833,13.503478
141,48624,Schöppingen,52.0940944626722,7.23706363494875
142,56477,Zehnhausen bei Rennerod,50.65,8.06667
143,54668,Prümzurlay,49.8667,6.43333
144,33181,Bad Wünnenberg,51.51728,8.69938999999999
145,19376,Tessenow,53.35421,11.89909
146,54429,Schillingen,49.6333,6.78333
147,75438,Knittlingen,49.0275,8.75389
148,18573,Altefähr Klein Bandelvitz,54.31525,13.1589300000001
149,26571,Juist,53.6768,6.99253
150,47506,Neukirchen-Vluyn,51.4425108617499,6.55381946563716
151,4657,Penig,50.9333,12.7167
152,9322,Penig,50.9333,12.7167
153,17337,Groß Luckow,53.53538,13.83227
154,15890,Vogelsang,52.18197,14.66392
155,25588,"Oldendorf, Holstein",53.953409,9.458583
156,66484,Kleinsteinhausen,49.2,7.46667
157,55234,"Offenheim, Rheinhessen",49.7256,8.03028
158,4808,Hohburg bei Wurzen,51.41241,12.80066
159,18182,Rövershagen,54.17642,12.23382
160,99195,Alperstedt,51.1,11.05
161,1844,Neustadt in Sachsen,51.02528,14.2111
162,94556,Neuschönau,48.8833,13.4833
163,31719,Wiedensahl,52.3825,9.11936
164,50374,Erftstadt,50.8167,6.76667
165,23628,Krummesse,53.78038,10.64071
166,6528,Martinsrieth,51.4404161454338,11.2447154815674
167,55758,Sulzbach bei Idar-Oberstein,49.8333,7.33333
168,40822,Mettmann,51.25097,6.97401000000002
169,91161,"Hilpoltstein, Mittelfranken",49.19,11.1886
170,6536,Wickerode,51.47671,11.13207
171,44135,Dortmund,51.504225397481,7.48365411122495
172,44137,Dortmund,51.504225397481,7.48365411122495
173,44139,Dortmund,51.504225397481,7.48365411122495
174,44141,Dortmund,51.504225397481,7.48365411122495
175,44143,Dortmund,51.504225397481,7.48365411122495
176,44145,Dortmund,51.504225397481,7.48365411122495
177,44147,Dortmund,51.504225397481,7.48365411122495
178,44149,Dortmund,51.504225397481,7.48365411122495
179,44225,Dortmund,51.504225397481,7.48365411122495
180,44227,Dortmund,51.504225397481,7.48365411122495
181,44229,Dortmund,51.504225397481,7.48365411122495
182,44263,Dortmund,51.504225397481,7.48365411122495
183,44265,Dortmund,51.504225397481,7.48365411122495
184,44267,Dortmund,51.504225397481,7.48365411122495
185,44269,Dortmund,51.504225397481,7.48365411122495
186,44287,Dortmund,51.504225397481,7.48365411122495
187,44289,Dortmund,51.504225397481,7.48365411122495
188,44309,Dortmund,51.504225397481,7.48365411122495
189,44319,Dortmund,51.504225397481,7.48365411122495
190,44328,Dortmund,51.504225397481,7.48365411122495
191,44329,Dortmund,51.504225397481,7.48365411122495
192,44339,Dortmund,51.504225397481,7.48365411122495
193,44357,Dortmund,51.504225397481,7.48365411122495
194,44359,Dortmund,51.504225397481,7.48365411122495
195,44369,Dortmund,51.504225397481,7.48365411122495
196,44379,Dortmund,51.504225397481,7.48365411122495
197,44388,Dortmund,51.504225397481,7.48365411122495
198,15837,"Baruth / Mark Radeland bei Baruth, Mark",52.05255,13.55432
199,53520,Kaltenborn bei Adenau,50.4,7.01667
200,24837,Schleswig,54.51808,9.57038
201,29683,Heidekreis Wense bei Dorfmark,52.92123,9.82285000000002
202,94366,Perasdorf,48.95,12.8
203,74564,Crailsheim,49.15,10.0833
204,96197,Wonsees,49.9833,11.3
205,88149,Nonnenhorn,47.5833,9.61667
206,49828,"Neuenhaus, Dinkel",52.4965452599612,6.96676655952456
207,84149,"Velden, Vils",48.3667,12.25
208,87679,Westendorf bei Kaufbeuren,47.9333,10.7167
209,55294,"Bodenheim, Rhein",49.9353,8.32
210,2739,Eibau,50.98658,14.65369
211,55471,Ravengiersburg,49.9333,7.48333
212,47804,Krefeld Fischeln,51.3050710630849,6.60032777631841
213,47805,Krefeld Fischeln,51.3050710630849,6.60032777631841
214,47807,Krefeld Fischeln,51.3050710630849,6.60032777631841
215,47809,Krefeld Fischeln,51.3050710630849,6.60032777631841
216,6318,Wansleben am See,51.4617,11.7483999999999
217,89429,Bachhagel,48.6333,10.3167
218,99887,Georgenthal / Thüringer Wald,50.8167,10.6667
219,95194,Regnitzlosau,50.3,12.05
220,38179,Schwülper,52.3562647621326,10.4319696243288
221,74599,Wallhausen (Württemberg),49.211,10.063
222,56479,Bretthausen bei Rennerod,50.6667,8.06667
223,24589,Ellerdorf,54.1930774566587,9.84013468170718
224,24242,"Felde, Holstein",54.2972792118201,9.92740236366335
225,38154,Königslutter am Elm,52.25248,10.8140100000001
226,87778,"Stetten, Schwaben",48.0333,10.4333
227,84405,"Obertaufkirchen Brunn bei Dorfen, Stadt",48.24358,12.222853
228,98530,Grub bei Suhl,50.549722,10.633056
229,37688,Beverungen,51.6685,9.37233000000003
230,24939,Flensburg Nordstadt,54.81037,9.42185
231,24939,Flensborg Nordstadt,54.81037,9.42185
232,56294,Münstermaifeld,50.25,7.36667
233,55758,Herborn bei Idar-Oberstein,49.7667,7.3
234,86507,Oberottmarshausen,48.2333,10.85
235,6528,Blankenheim bei Sangerhausen,51.50711,11.42819
236,39579,Demker,52.50601,11.85559
237,67374,Hanhofen,49.3167,8.34083
238,73333,Gingen an der Fils,48.65,9.78333
239,7646,Waldeck bei Stadtroda,50.9167,11.7833
240,23815,Geschendorf,53.92216,10.4402
241,38667,"Altenau, Harz Torfhaus, Harz",51.8019139405272,10.536938188916
242,84453,Mühldorf am Inn,48.25,12.5333
243,66887,Glanbrücken,49.6167,7.53333
244,67678,Mehlingen,49.5,7.85
245,56290,"Buch, Hunsrück",50.0833,7.38333
246,67376,"Harthausen, Pfalz",49.2942,8.345
247,18059,Pölchow Huckstorf,53.9844,12.11161
248,16248,Niederfinow,52.84009,13.93726
249,91595,Burgoberbach,49.2333,10.5833
250,17291,Uckerfelde,53.2658983330896,13.9486755554199
251,7616,Petersberg bei Eisenberg,50.9833,11.8333
252,24887,Silberstedt,54.5180797040668,9.37611654544417
253,72587,Römerstein,48.4962,9.51482
254,19412,Weitendorf bei Sternberg,53.71757,11.7510600000001
255,31622,Heemsen,52.70526,9.25217999999995
256,97953,Königheim,49.6203,9.59583
257,18513,Glewitz bei Grimmen Jahnkow,54.01465,12.96282
258,19374,Grebbin Kossebade,53.53182,11.8413
259,18546,Sassnitz Klementelvitz,54.523786,13.59488
260,16818,Märkisch Linden Kränzlin,52.92812,12.74622
261,17194,Hohen Wangelin,53.61457,12.42616
262,82069,Schäftlarn,47.9833,11.4667
263,56237,"Oberhaid, Westerwald",50.5167,7.71667
264,17349,Lindetal Ballin,53.4584697793125,13.4285967407227
265,7937,Langenwolschendorf,50.6333,11.9667
266,89129,Setzingen,48.5333,10.1333
267,66903,"Ohmbach, Pfalz",49.45,7.35
268,83374,Traunreut Zweckham,47.9667,12.6
269,55278,Dexheim,49.8472,8.31667
270,49594,Alfhausen,52.5028475552629,7.95377655029301
271,8304,"Schönheide, Erzgebirge",50.5,12.5333
272,53547,"Leubsdorf, Rhein",50.55,7.3
273,19069,"Seehof bei Schwerin Hundorf bei Schwerin, Mecklenburg",53.70483,11.43506
274,86570,Inchenhofen,48.5167,11.1167
275,93480,Hohenwarth bei Kötzting,49.2,12.9333
276,78476,Allensbach,47.7167,9.06667
277,88364,Wolfegg (Allgäu),47.8167,9.8
278,14715,Havelaue Parey,52.67825,12.24645
279,9468,"Tannenberg, Erzgebirge",50.6,12.95
280,14778,Beetzseeheide Gortz,52.51273,12.64399
281,37547,Kreiensen,51.8539,9.96584000000007
282,73568,Durlangen,48.85,9.8
283,19230,Warlitz,53.3782,11.14941
284,39619,Schrampe,52.89289,11.44271
285,95367,Trebgast,50.0667,11.55
286,56841,Traben-Trarbach,49.95,7.11667
287,83132,Pittenhart,47.9833,12.3833
288,34621,Frielendorf,50.9833,9.33333
289,29229,Winsen (Aller) Wittbeck,52.6929,10.0216
290,55444,Waldlaubersheim,49.9333,7.83333
291,97837,Erlenbach bei Marktheidenfeld,49.8194,9.62889
292,22946,Trittau,53.61096,10.40473
293,59399,"Olfen, Westfalen",51.7086,7.37828000000002
294,66909,Nanzdietschweiler,49.45,7.45
295,27419,Hamersen,53.25596,9.48104999999998
296,23898,Wentorf (Amt Sandesneben),53.68311,10.46705
297,21483,Wangelau,53.45461,10.55031
298,24576,Mönkloh,53.8893855875667,9.78687602336885
299,24943,Tastrup bei Flensburg,54.7650937115,9.4772163039
300,42579,Heiligenhaus bei Velbert,51.32748147456,6.96555420104983
301,17139,Kummerow bei Malchin,53.76891,12.83336
302,18196,Dummerstorf Bandelstorf,54.03723,12.25153
303,14913,Niedergörsdorf Rohrbeck bei Jüterbog,51.9630722081012,13.0431054550172
304,55288,Gabsheim,49.8278,8.17611
305,73266,Bissingen an der Teck,48.6,9.5
306,73098,Rechberghausen,48.7333,9.63333
307,37345,Steinrode bei Leinefelde,51.5016701,10.4922799999999
308,48341,"Altenberge, Westfalen",52.0468975433455,7.4699533227539
309,99986,Langula,51.1508614349929,10.4172149841309
310,27624,Kührstedt,53.57786,8.80115999999998
311,6869,Coswig (Anhalt) Cobbelsdorf,51.9591,12.53332
312,6313,Wimmelburg,51.52077,11.5074500000001
313,24582,Groß Buchwald,54.162083522502,10.08378654862
314,14913,Niederer Fläming Borgisdorf,51.9261,13.14172
315,73066,Uhingen,48.7048,9.5857
316,35315,Homberg (Ohm),50.7333,9.0
317,64646,Heppenheim (Bergstraße),49.6408,8.63722
318,19300,Brunow bei Parchim,53.26244,11.81313
319,19372,Brunow bei Parchim,53.26244,11.81313
320,29576,Barum bei Bad Bevensen,53.05078,10.51518
321,86984,"Prem, Oberbayern",47.6833,10.8
322,21502,Hamwarde,53.45298,10.42135
323,19061,"Schwerin, Mecklenburg Zippendorf",53.60716,11.46771
